cond_coop1,cond_coop2,cond_coop3,cond_coop4,coop1,coop2,coop3,coop4,fully_coop1,fully_coop2,fully_coop3,fully_coop4,fully_noncoop1,fully_noncoop2,fully_noncoop3,fully_noncoop4,noncoop1,noncoop2,noncoop3,noncoop4,total_catch,total_biomass,biomass_inside_MPA,biomass_outside_MPA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,41,159
0,0,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,0,1,1,9,145,40,105
0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,5,113,37,76
0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,1,7,87,37,50
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,71,37,34
0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,5,64,36,28
1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,58,36,22
1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,4,51,35,16
0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,47,34,13
0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,4,43,31,12
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,41,30,11
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,40,30,10
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,39,30,9
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,38,30,8
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,36,29,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,35,28,7
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,27,7
