parameter,value,stability_probability,quality_score,mean_fish_population,mean_cv,mean_persistence,crash_rate
scale,0.5,0.4,0.6772,14.546333333333331,0.34423889154076626,0.8573333333333334,0.19999999999999996
scale,0.75,0.2,0.6437999999999999,14.294999999999998,0.34460059965839107,0.8460000000000001,0.6
scale,1.0,0.0,0.6659999999999999,14.674666666666667,0.3484495927963502,0.8533333333333333,0.6
scale,1.25,0.0,0.6586000000000001,14.344666666666669,0.369209780981338,0.8286666666666667,1.0
scale,1.5,0.2,0.6622,14.529999999999998,0.35778560324862735,0.8406666666666667,0.8
scale,1.75,0.2,0.6696,14.864666666666668,0.3356029274469775,0.8653333333333333,0.19999999999999996
scale,2.0,0.0,0.6638,14.119666666666669,0.3328058313709592,0.8460000000000001,0.6
scale,2.25,0.0,0.6495,13.844333333333335,0.32135351721502836,0.8316666666666667,0.4
scale,2.5,0.0,0.6496999999999999,13.999,0.34831414639034375,0.8323333333333334,0.8
scale,2.75,0.2,0.6625,14.413,0.3387197296735177,0.8416666666666668,0.0
scale,3.0,0.2,0.6563999999999999,14.315999999999999,0.3529039586573651,0.8213333333333332,0.4
scale,3.25,0.0,0.6445000000000001,13.940333333333333,0.3656509645855688,0.8150000000000001,1.0
scale,3.5,0.0,0.6309,14.160666666666668,0.3367535077998757,0.8363333333333334,0.6
scale,3.75,0.0,0.6868000000000001,14.884333333333334,0.35865319088520503,0.8560000000000001,0.6
scale,4.0,0.0,0.6588,14.446333333333333,0.36090942827729966,0.8293333333333333,1.0
imitation_period,1.0,0.0,0.6519999999999999,14.247666666666666,0.37708802741308983,0.8066666666666666,0.8
imitation_period,2.0,0.2,0.6617,14.171666666666663,0.3373130305101312,0.8390000000000001,0.4
imitation_period,3.0,0.0,0.6590999999999999,14.3,0.3583904791068898,0.8303333333333335,0.6
imitation_period,4.0,0.0,0.6609999999999999,14.629666666666665,0.3474711841396269,0.8699999999999999,0.4
imitation_period,5.0,0.0,0.6522,14.509666666666666,0.3556580107537922,0.8406666666666667,0.6
imitation_period,6.0,0.0,0.6401,14.083666666666664,0.33754290294509104,0.8336666666666668,0.6
imitation_period,7.0,0.2,0.6672,14.428333333333333,0.3327935413526228,0.8573333333333333,0.4
imitation_period,8.0,0.0,0.6629999999999999,14.930333333333333,0.37439690427666056,0.8433333333333334,0.8
imitation_period,9.0,0.2,0.6496999999999999,14.454666666666668,0.3560860981839868,0.8323333333333333,0.4
imitation_period,10.0,0.2,0.6615,14.325333333333333,0.3494001404560311,0.8383333333333333,0.4
imitation_period,11.0,0.2,0.6735,14.748666666666669,0.3514538102076742,0.8450000000000001,0.8
imitation_period,12.0,0.0,0.6527000000000001,14.293666666666667,0.34817904575215,0.8423333333333334,0.4
imitation_period,13.0,0.2,0.6655,14.639666666666667,0.34946935254214556,0.8516666666666668,0.8
imitation_period,14.0,0.0,0.6625,14.496666666666666,0.3562841790325649,0.8416666666666668,1.0
imitation_period,15.0,0.2,0.6738,14.731,0.3157512473105715,0.8793333333333333,0.6
cooperation_increase,0.05,0.0,0.6652000000000001,14.524333333333335,0.3498971164005125,0.8506666666666668,0.8
cooperation_increase,0.08214285714285716,0.2,0.6535,14.330666666666668,0.3699747436203652,0.8116666666666668,0.8
cooperation_increase,0.1142857142857143,0.0,0.6634,14.777666666666667,0.3709747531638684,0.8446666666666666,0.8
cooperation_increase,0.14642857142857146,0.0,0.649,13.960666666666668,0.33369168098461166,0.8300000000000001,0.4
cooperation_increase,0.1785714285714286,0.0,0.647,14.401333333333335,0.3596022954858241,0.8233333333333333,0.6
cooperation_increase,0.21071428571428574,0.0,0.6339,14.238,0.34079927124609743,0.8463333333333333,0.19999999999999996
cooperation_increase,0.24285714285714288,0.2,0.6676,14.55,0.3267940437959146,0.8586666666666666,0.0
cooperation_increase,0.275,0.0,0.6533,14.267000000000001,0.33962717676446036,0.8443333333333334,0.8
cooperation_increase,0.30714285714285716,0.0,0.6660999999999999,14.363666666666665,0.33858638687227327,0.8536666666666666,0.8
cooperation_increase,0.3392857142857143,0.0,0.6658,14.147333333333332,0.3528816967275608,0.8193333333333334,1.0
cooperation_increase,0.37142857142857144,0.0,0.6446999999999999,14.117666666666665,0.3604121960447854,0.8156666666666667,0.8
cooperation_increase,0.4035714285714286,0.0,0.6504000000000001,14.347666666666665,0.35617327009855276,0.8346666666666668,0.19999999999999996
cooperation_increase,0.4357142857142858,0.0,0.6683999999999999,14.292000000000002,0.3205517299321411,0.8613333333333333,0.6
cooperation_increase,0.4678571428571429,0.0,0.646,14.117333333333331,0.34674086336969684,0.8200000000000001,1.0
cooperation_increase,0.5,0.2,0.6597000000000002,14.578666666666667,0.3574298920492668,0.8323333333333334,0.4
q,0.2,0.2,0.6581,14.150666666666666,0.35047929795846616,0.827,0.4
q,0.2571428571428572,0.0,0.6713,14.865333333333334,0.33861600276257653,0.8710000000000001,0.6
q,0.3142857142857143,0.0,0.6533,14.133,0.3315082766085344,0.8443333333333334,1.0
q,0.37142857142857144,0.0,0.6494,14.264333333333335,0.3480934892713414,0.8313333333333333,0.4
q,0.4285714285714286,0.2,0.6750000000000002,14.692333333333332,0.3622414152852145,0.85,0.6
q,0.48571428571428577,0.0,0.6506000000000001,14.439666666666668,0.351636426956791,0.8353333333333334,0.6
q,0.5428571428571429,0.2,0.6808,14.771333333333335,0.33734580980688417,0.8693333333333333,0.4
q,0.6000000000000001,0.0,0.6369,14.267666666666667,0.3554866719039603,0.8230000000000001,0.6
q,0.6571428571428573,0.0,0.6491,14.449333333333334,0.36168184983567264,0.8303333333333333,0.8
q,0.7142857142857144,0.0,0.6496000000000001,14.056999999999999,0.33991511591204465,0.8320000000000001,0.8
q,0.7714285714285716,0.0,0.6469000000000001,14.240666666666666,0.3442351244052941,0.8230000000000001,0.8
q,0.8285714285714287,0.0,0.6508,14.254666666666669,0.35438592565617194,0.8360000000000001,0.4
q,0.8857142857142857,0.0,0.6439,13.963,0.35694914619941026,0.813,0.8
q,0.9428571428571428,0.0,0.6420999999999999,13.953,0.36384353260523883,0.8069999999999998,0.8
q,1.0,0.0,0.6264000000000001,14.172,0.3584270384771642,0.8213333333333332,0.8
trust_decrease,0.05,0.0,0.6491,14.409666666666666,0.3376850400380115,0.8303333333333335,0.4
trust_decrease,0.08214285714285716,0.0,0.659,14.631,0.3665997452778913,0.8300000000000001,1.0
trust_decrease,0.1142857142857143,0.0,0.6701,14.634333333333334,0.3590965952790809,0.8336666666666666,0.8
trust_decrease,0.14642857142857146,0.0,0.6489,14.391666666666666,0.3562190943543455,0.8296666666666667,0.8
trust_decrease,0.1785714285714286,0.4,0.6682,14.982333333333333,0.34306272945313465,0.8606666666666666,0.6
trust_decrease,0.21071428571428574,0.0,0.6614000000000001,14.530333333333335,0.36231440264863346,0.8379999999999999,1.0
trust_decrease,0.24285714285714288,0.2,0.6834999999999999,14.931666666666667,0.3303317510595024,0.8783333333333333,0.4
trust_decrease,0.275,0.0,0.6178000000000001,13.929666666666668,0.3706286216592904,0.7926666666666667,0.8
trust_decrease,0.30714285714285716,0.0,0.6529,14.187999999999999,0.32773846752842506,0.843,0.19999999999999996
trust_decrease,0.3392857142857143,0.0,0.6576000000000001,14.514333333333331,0.3628060035512257,0.8253333333333334,0.6
trust_decrease,0.37142857142857144,0.0,0.6678,14.647000000000002,0.34233001173821315,0.8593333333333332,0.6
trust_decrease,0.4035714285714286,0.2,0.655,14.196333333333333,0.3603969507862595,0.8166666666666668,0.8
trust_decrease,0.4357142857142858,0.0,0.6443000000000001,14.258333333333335,0.38649345613470193,0.8143333333333332,0.8
