param1,param2,val1,val2,equilibrium_probability,mean_final_population
scale,imitation_period,0.5,1.0,0.3333333333333333,13.616666666666667
scale,imitation_period,0.5,3.0,0.3333333333333333,12.606666666666667
scale,imitation_period,0.5,5.0,0.0,14.116666666666667
scale,imitation_period,0.5,7.0,0.0,13.74
scale,imitation_period,0.5,9.0,0.0,15.333333333333334
scale,imitation_period,0.5,11.0,0.6666666666666666,14.656666666666666
scale,imitation_period,0.5,13.0,0.3333333333333333,15.62
scale,imitation_period,0.5,15.0,0.0,14.456666666666669
scale,imitation_period,1.0,1.0,0.3333333333333333,16.213333333333335
scale,imitation_period,1.0,3.0,0.0,14.746666666666664
scale,imitation_period,1.0,5.0,0.0,13.729999999999999
scale,imitation_period,1.0,7.0,0.0,13.673333333333334
scale,imitation_period,1.0,9.0,0.0,13.353333333333333
scale,imitation_period,1.0,11.0,0.0,14.133333333333335
scale,imitation_period,1.0,13.0,0.0,13.463333333333333
scale,imitation_period,1.0,15.0,0.3333333333333333,15.503333333333336
scale,imitation_period,1.5,1.0,0.0,12.646666666666668
scale,imitation_period,1.5,3.0,0.0,14.99
scale,imitation_period,1.5,5.0,0.0,13.443333333333333
scale,imitation_period,1.5,7.0,0.0,15.526666666666666
scale,imitation_period,1.5,9.0,0.0,13.903333333333334
scale,imitation_period,1.5,11.0,0.3333333333333333,15.106666666666667
scale,imitation_period,1.5,13.0,0.3333333333333333,14.856666666666667
scale,imitation_period,1.5,15.0,0.0,14.993333333333332
scale,imitation_period,2.0,1.0,0.3333333333333333,16.013333333333332
scale,imitation_period,2.0,3.0,0.0,14.573333333333332
scale,imitation_period,2.0,5.0,0.0,13.839999999999998
scale,imitation_period,2.0,7.0,0.3333333333333333,15.24
scale,imitation_period,2.0,9.0,0.3333333333333333,14.706666666666669
scale,imitation_period,2.0,11.0,0.3333333333333333,14.523333333333333
scale,imitation_period,2.0,13.0,0.3333333333333333,15.329999999999998
scale,imitation_period,2.0,15.0,0.0,14.026666666666666
scale,imitation_period,2.5,1.0,0.0,15.01
scale,imitation_period,2.5,3.0,0.0,15.409999999999998
scale,imitation_period,2.5,5.0,0.0,13.883333333333333
scale,imitation_period,2.5,7.0,0.3333333333333333,13.963333333333333
scale,imitation_period,2.5,9.0,0.0,14.030000000000001
scale,imitation_period,2.5,11.0,0.0,14.79
scale,imitation_period,2.5,13.0,0.0,14.066666666666668
scale,imitation_period,2.5,15.0,0.3333333333333333,14.393333333333333
scale,imitation_period,3.0,1.0,0.3333333333333333,12.38
scale,imitation_period,3.0,3.0,0.3333333333333333,14.496666666666668
scale,imitation_period,3.0,5.0,0.3333333333333333,13.446666666666667
scale,imitation_period,3.0,7.0,0.3333333333333333,15.163333333333334
scale,imitation_period,3.0,9.0,0.3333333333333333,14.263333333333335
scale,imitation_period,3.0,11.0,0.0,13.996666666666668
scale,imitation_period,3.0,13.0,0.0,13.883333333333335
