parameter,value,equilibrium_probability,mean_final_population,mean_cv,crash_probability,n_reps
scale,0.5,0.0,14.016,0.37465919721414187,1.0,5
scale,0.75,0.2,13.742,0.3161098541172841,0.6,5
scale,1.0,0.0,13.469999999999999,0.36398907699771843,0.6,5
scale,1.25,0.0,14.024000000000001,0.3614737375047065,0.8,5
scale,1.5,0.4,13.916,0.30938760297828144,0.4,5
scale,1.75,0.2,15.776,0.2879719736508556,0.4,5
scale,2.0,0.0,13.706,0.33790946301788044,0.6,5
scale,2.25,0.2,15.692000000000002,0.3699328054207894,0.4,5
scale,2.5,0.2,13.309999999999999,0.35578152050646883,0.4,5
scale,2.75,0.0,14.462,0.37231095401439146,0.8,5
scale,3.0,0.2,14.208000000000002,0.2773571916685952,0.8,5
scale,3.25,0.0,13.99,0.35868768330723116,0.4,5
scale,3.5,0.2,14.826000000000002,0.26002381971029664,0.8,5
scale,3.75,0.0,13.606,0.34461389251978225,0.6,5
scale,4.0,0.2,14.112,0.31577294906306796,0.8,5
imitation_period,1.0,0.4,16.048,0.2975658908385393,0.2,5
imitation_period,2.0,0.0,14.758,0.3455553291462852,0.8,5
imitation_period,3.0,0.4,15.604,0.3120299919305375,0.4,5
imitation_period,4.0,0.0,14.286000000000001,0.3028853651532315,0.4,5
imitation_period,5.0,0.0,14.9,0.3331943256781808,1.0,5
imitation_period,6.0,0.2,13.504,0.3399643034686483,0.8,5
imitation_period,7.0,0.0,15.101999999999999,0.3369305714414464,1.0,5
imitation_period,8.0,0.2,13.464000000000002,0.3351446396304239,0.8,5
imitation_period,9.0,0.2,14.877999999999997,0.28543416627247364,0.6,5
imitation_period,10.0,0.0,13.937999999999999,0.32144526386415073,0.6,5
imitation_period,11.0,0.2,14.386000000000001,0.31800587659031615,0.8,5
imitation_period,12.0,0.0,14.252,0.3845238918493821,0.8,5
imitation_period,13.0,0.2,15.15,0.3147129900194165,0.6,5
imitation_period,14.0,0.0,13.514000000000001,0.3911481907255529,1.0,5
imitation_period,15.0,0.0,14.66,0.3408299128802193,1.0,5
cooperation_increase,0.05,0.0,14.028,0.3658005756736619,0.6,5
cooperation_increase,0.08214285714285716,0.0,14.41,0.2679403668196307,1.0,5
cooperation_increase,0.1142857142857143,0.0,14.012,0.29690453502109754,1.0,5
cooperation_increase,0.14642857142857146,0.2,14.888,0.3419066612125935,0.8,5
cooperation_increase,0.1785714285714286,0.0,14.014,0.3565363011619241,0.8,5
cooperation_increase,0.21071428571428574,0.2,13.664000000000001,0.3224378340174273,0.4,5
cooperation_increase,0.24285714285714288,0.4,14.918000000000001,0.310094703740447,0.4,5
cooperation_increase,0.275,0.0,13.154000000000002,0.3331760274474215,0.6,5
cooperation_increase,0.30714285714285716,0.0,14.315999999999999,0.32692944909161525,1.0,5
cooperation_increase,0.3392857142857143,0.2,14.978,0.3582832808973896,0.6,5
cooperation_increase,0.37142857142857144,0.2,13.744,0.35494400980925567,0.6,5
cooperation_increase,0.4035714285714286,0.0,14.776,0.3387710313553896,1.0,5
cooperation_increase,0.4357142857142858,0.0,14.23,0.35643588143648997,0.4,5
cooperation_increase,0.4678571428571429,0.2,14.514,0.317931863662408,0.8,5
cooperation_increase,0.5,0.4,15.113999999999999,0.30057669138150844,0.4,5
q,0.2,0.0,14.898000000000001,0.31436800946534105,0.8,5
q,0.2571428571428572,0.0,15.154,0.3501108160314686,1.0,5
q,0.3142857142857143,0.0,15.157999999999998,0.32374513833354507,1.0,5
q,0.37142857142857144,0.2,14.056000000000001,0.3613027379205239,0.8,5
q,0.4285714285714286,0.2,14.776,0.2915554566779707,0.8,5
q,0.48571428571428577,0.2,15.486,0.3243060449801649,0.8,5
q,0.5428571428571429,0.2,15.162,0.2676328011347288,0.6,5
q,0.6000000000000001,0.0,14.348000000000003,0.32404637911002415,0.6,5
q,0.6571428571428573,0.2,14.278,0.3014951001892518,0.8,5
q,0.7142857142857144,0.2,15.524000000000001,0.3206720219528232,0.6,5
q,0.7714285714285716,0.2,14.060000000000002,0.3602131032672081,0.6,5
q,0.8285714285714287,0.0,16.086000000000002,0.3700223198613776,1.0,5
q,0.8857142857142857,0.2,14.27,0.3715634907834657,0.6,5
q,0.9428571428571428,0.4,13.998000000000001,0.32431031999802284,0.6,5
q,1.0,0.0,14.238,0.30621027282387925,0.8,5
trust_decrease,0.05,0.2,14.450000000000003,0.3416155007043417,0.4,5
trust_decrease,0.08214285714285716,0.2,14.3,0.30729588275482034,0.4,5
trust_decrease,0.1142857142857143,0.0,13.948000000000002,0.2951234810392083,1.0,5
trust_decrease,0.14642857142857146,0.4,13.238,0.25557284549505127,0.6,5
trust_decrease,0.1785714285714286,0.2,14.248,0.35042255631441,0.8,5
trust_decrease,0.21071428571428574,0.0,13.522,0.3256017234708949,0.6,5
trust_decrease,0.24285714285714288,0.0,14.464000000000002,0.3961975892310029,0.6,5
trust_decrease,0.275,0.2,14.451999999999998,0.3237910273782152,0.4,5
trust_decrease,0.30714285714285716,0.0,14.01,0.34258076172009727,0.8,5
trust_decrease,0.3392857142857143,0.0,14.854,0.33377317232074033,1.0,5
trust_decrease,0.37142857142857144,0.0,13.947999999999999,0.3207503014750712,0.8,5
trust_decrease,0.4035714285714286,0.0,14.604000000000003,0.36655240888439283,0.8,5
trust_decrease,0.4357142857142858,0.0,14.879999999999999,0.3622175839878782,1.0,5
trust_decrease,0.4678571428571429,0.2,15.874,0.28894496660114394,0.8,5
trust_decrease,0.5,0.2,14.154,0.33038168484547537,0.6,5
