parameter,value,probability
scale,0.5,0.0
scale,0.6842105263157895,0.0
scale,0.868421052631579,0.0
scale,1.0526315789473684,0.0
scale,1.236842105263158,0.0
scale,1.4210526315789473,0.0
scale,1.6052631578947367,0.0
scale,1.7894736842105263,0.0
scale,1.9736842105263157,0.0
scale,2.1578947368421053,0.0
scale,2.3421052631578947,0.0
scale,2.526315789473684,0.0
scale,2.7105263157894735,0.0
scale,2.894736842105263,0.0
scale,3.0789473684210527,0.0
scale,3.263157894736842,0.0
scale,3.4473684210526314,0.0
scale,3.631578947368421,0.0
scale,3.81578947368421,0.0
scale,4.0,0.0
imitation_period,1.0,0.0
imitation_period,1.736842105263158,0.0
imitation_period,2.473684210526316,0.0
imitation_period,3.2105263157894735,0.0
imitation_period,3.9473684210526314,0.0
imitation_period,4.684210526315789,0.0
imitation_period,5.421052631578947,0.0
imitation_period,6.157894736842105,0.0
imitation_period,6.894736842105263,0.0
imitation_period,7.63157894736842,0.0
imitation_period,8.368421052631579,0.0
imitation_period,9.105263157894736,0.0
imitation_period,9.842105263157894,0.0
imitation_period,10.578947368421051,0.0
imitation_period,11.31578947368421,0.0
imitation_period,12.052631578947368,0.0
imitation_period,12.789473684210526,0.0
imitation_period,13.526315789473683,0.0
imitation_period,14.26315789473684,0.0
imitation_period,15.0,0.0
cooperation_increase,0.05,0.0
cooperation_increase,0.0736842105263158,0.0
cooperation_increase,0.09736842105263158,0.0
cooperation_increase,0.12105263157894737,0.0
cooperation_increase,0.14473684210526316,0.0
cooperation_increase,0.16842105263157897,0.0
cooperation_increase,0.19210526315789472,0.0
cooperation_increase,0.21578947368421053,0.0
cooperation_increase,0.23947368421052634,0.0
cooperation_increase,0.2631578947368421,0.0
cooperation_increase,0.2868421052631579,0.0
cooperation_increase,0.3105263157894737,0.0
cooperation_increase,0.33421052631578946,0.0
cooperation_increase,0.35789473684210527,0.0
cooperation_increase,0.3815789473684211,0.0
cooperation_increase,0.4052631578947368,0.0
cooperation_increase,0.42894736842105263,0.0
cooperation_increase,0.45263157894736844,0.0
cooperation_increase,0.4763157894736842,0.0
cooperation_increase,0.5,0.0
q,0.2,0.0
q,0.24210526315789474,0.0
q,0.28421052631578947,0.0
q,0.3263157894736842,0.0
q,0.368421052631579,0.0
q,0.4105263157894737,0.0
q,0.45263157894736844,0.0
q,0.49473684210526314,0.0
q,0.5368421052631579,0.0
q,0.5789473684210527,0.0
q,0.6210526315789473,0.0
q,0.6631578947368422,0.0
q,0.7052631578947368,0.0
q,0.7473684210526317,0.0
q,0.7894736842105263,0.0
q,0.831578947368421,0.0
q,0.8736842105263158,0.0
q,0.9157894736842105,0.0
q,0.9578947368421054,0.0
q,1.0,0.0
trust_decrease,0.05,0.0
trust_decrease,0.0736842105263158,0.0
trust_decrease,0.09736842105263158,0.0
trust_decrease,0.12105263157894737,0.0
trust_decrease,0.14473684210526316,0.0
trust_decrease,0.16842105263157897,0.0
trust_decrease,0.19210526315789472,0.0
trust_decrease,0.21578947368421053,0.0
trust_decrease,0.23947368421052634,0.0
trust_decrease,0.2631578947368421,0.0
trust_decrease,0.2868421052631579,0.0
trust_decrease,0.3105263157894737,0.0
trust_decrease,0.33421052631578946,0.0
trust_decrease,0.35789473684210527,0.0
trust_decrease,0.3815789473684211,0.0
trust_decrease,0.4052631578947368,0.0
trust_decrease,0.42894736842105263,0.0
trust_decrease,0.45263157894736844,0.0
trust_decrease,0.4763157894736842,0.0
trust_decrease,0.5,0.0
