parameter,value,n_reps,viable_rate,viable_ci_lower,viable_ci_upper,healthy_rate,healthy_ci_lower,healthy_ci_upper,no_crash_rate,no_crash_ci_lower,no_crash_ci_upper,low_var_rate,low_var_ci_lower,low_var_ci_upper,stability_mean,stability_std,stability_se,stability_ci_lower,stability_ci_upper,fish_mean,fish_std,fish_se,fish_ci_lower,fish_ci_upper,cv_mean,cv_std,cv_se,cv_ci_lower,cv_ci_upper,persist_viable_mean,persist_viable_std,persist_viable_se,persist_viable_ci_lower,persist_viable_ci_upper,persist_healthy_mean,persist_healthy_std,persist_healthy_se,persist_healthy_ci_lower,persist_healthy_ci_upper
scale,0.1,15,1.0,1.0,1,0.0,0,0.0,0.2,0.0,0.4024279295617743,1.0,1.0,1.0,0.6133333333333333,0.05163977794943221,0.013333333333333329,0.5871999999999999,0.6394666666666666,14.320518518518519,0.3700826607380485,0.09555493211723942,14.13323085156873,14.507806185468308,0.35074490208599407,0.02772847774236345,0.007159462167457112,0.3367123562377781,0.36477744793421,0.8377777777777777,0.03685617214313082,0.009516222727686626,0.8191259812315119,0.8564295743240435,0.14644444444444446,0.018069042581820245,0.004665406733420165,0.13730024724694093,0.155588641641948
scale,0.4413793103448276,15,1.0,1.0,1,0.0,0,0.0,0.3333333333333333,0.09476973050886098,0.5718969361578057,1.0,1.0,1.0,0.6266666666666666,0.05936168397046635,0.015327120894696263,0.5966255097130619,0.6567078236202712,14.303999999999998,0.5349083555653394,0.13811274352345035,14.033299022694036,14.57470097730596,0.34248707736176726,0.022037758532657405,0.0056901247856481684,0.33133443278189684,0.3536397219416377,0.8450370370370371,0.029996668441310215,0.007745106487660003,0.8298566283212235,0.8602174457528508,0.13903703703703704,0.02665961105954048,0.006883481976664489,0.12554541236277464,0.15252866171129945
scale,0.7827586206896552,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,0.9333333333333333,0.8070973403443054,1.0,0.5933333333333333,0.07037315505489966,0.018170270503179913,0.5577196031471007,0.6289470635195659,14.467629629629633,0.6822127690088383,0.17614657952941853,14.122382333751972,14.812876925507293,0.3422251358540142,0.02808633623131563,0.007251860831991161,0.32801148862331153,0.3564387830847169,0.8442222222222223,0.040090726033996694,0.010351380951135554,0.8239335155579967,0.864510928886448,0.15318518518518515,0.03649277347868973,0.009422393595992335,0.13471729373704017,0.17165307663333013
scale,1.124137931034483,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.8666666666666667,0.6946360061780545,1.0,0.5866666666666666,0.09904304018720247,0.02557280301351914,0.5365439727601691,0.636789360573164,14.346148148148153,0.7414267035461661,0.19143555168451765,13.970934466846499,14.721361829449807,0.3658133103431111,0.04536221287034198,0.011712472999596681,0.3428568632639016,0.3887697574223206,0.8315555555555556,0.04746260014683574,0.012254790662426435,0.8075361658571998,0.8555749452539114,0.1522962962962963,0.036542518702648984,0.009435237757588838,0.13380323029142216,0.17078936230117042
scale,1.4655172413793105,15,1.0,1.0,1,0.0,0,0.0,0.2,0.0,0.4024279295617743,0.8666666666666667,0.6946360061780545,1.0,0.5866666666666666,0.09154754164341267,0.023637473611411147,0.5403372183883007,0.6329961149450324,14.38962962962963,0.4071890708840105,0.1051357660194296,14.183563528231547,14.595695731027712,0.3528229108515619,0.03071700496413109,0.007931096578096684,0.33727796155849243,0.3683678601446314,0.8327407407407409,0.03170317212628575,0.008185723844470125,0.8166967220055794,0.8487847594759024,0.15170370370370367,0.028753856168556285,0.007424213738670793,0.13715224477590893,0.16625516263149842
scale,1.806896551724138,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,1.0,1.0,1.0,0.6266666666666666,0.045773770821706326,0.011818736805705572,0.6035019425274837,0.6498313908058495,14.58185185185185,0.4370113883604538,0.11283585528153461,14.360693575500042,14.803010128203658,0.3459064672947114,0.024411155564134923,0.006302933264104872,0.3335527180970659,0.35826021649235695,0.853851851851852,0.030289219235253424,0.00782064277785079,0.8385233920072644,0.8691803116964395,0.1542962962962963,0.028621678328001336,0.007390085566990327,0.13981172858499524,0.16878086400759734
scale,2.148275862068966,15,1.0,1.0,1,0.0,0,0.0,0.13333333333333333,0.0,0.3053639938219455,1.0,1.0,1.0,0.6066666666666667,0.04577377082170633,0.011818736805705573,0.5835019425274838,0.6298313908058496,14.518222222222223,0.4910509192446393,0.12678880215828872,14.269716169991977,14.766728274452468,0.3465497905265249,0.024162970708128024,0.006238852209831831,0.3343216401952545,0.3587779408577953,0.8496296296296296,0.029718451523660157,0.0076732711884138815,0.8345900181003384,0.8646692411589209,0.15488888888888888,0.031750237816604375,0.008197876153455578,0.13882105162811595,0.17095672614966181
scale,2.4896551724137934,15,1.0,1.0,1,0.0,0,0.0,0.2,0.0,0.4024279295617743,1.0,1.0,1.0,0.6133333333333332,0.051639777949432225,0.013333333333333332,0.5871999999999998,0.6394666666666665,14.336962962962964,0.3822924600162848,0.09870748873491572,14.143496285042529,14.5304296408834,0.3594138063525441,0.02595876622498587,0.006702524618497457,0.3462768581002891,0.37255075460479914,0.8290370370370369,0.02081185842041091,0.005373598737725203,0.8185047835110955,0.8395692905629784,0.15059259259259258,0.026702577231522216,0.006894575794566859,0.13707922403524153,0.16410596114994364
scale,2.831034482758621,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,1.0,1.0,1.0,0.6199999999999998,0.056061191058138796,0.014474937289114913,0.5916291229133346,0.648370877086665,14.515703703703704,0.5242417665039745,0.13535864207041667,14.250400765245686,14.78100664216172,0.345964351397721,0.027142534705409713,0.007008172325860576,0.3322283336390343,0.35970036915640774,0.8421481481481481,0.026842892137745447,0.006930804947568675,0.8285637704509135,0.8557325258453827,0.15785185185185185,0.03769006312436523,0.009731532453211521,0.13877804824355727,0.17692565546014644
scale,3.1724137931034484,15,1.0,1.0,1,0.0,0,0.0,0.26666666666666666,0.0428741701850342,0.4904591631482991,0.9333333333333333,0.8070973403443054,1.0,0.6133333333333333,0.06399404734221843,0.016523191974188067,0.5809478770639247,0.6457187896027419,14.557555555555554,0.5048593147497573,0.1303541145468999,14.30206149104363,14.813049620067478,0.34716845380228084,0.03221769219409358,0.008318572354730741,0.3308640519870086,0.3634728556175531,0.8534074074074074,0.04060057659095411,0.010483023798878931,0.8328606807616047,0.8739541340532101,0.15911111111111112,0.026999248797440686,0.00697117606350656,0.14544760602663825,0.17277461619558399
