cond_coop1,cond_coop2,cond_coop3,cond_coop4,cond_coop5,cond_coop6,cond_coop7,cond_coop8,coop1,coop2,coop3,coop4,fully_noncoop1,fully_noncoop2,fully_noncoop3,fully_noncoop4,noncoop1,noncoop2,noncoop3,noncoop4,total_catch,total_biomass,biomass_inside_MPA,biomass_outside_MPA
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,42,158
5,3,1,4,0,3,1,2,2,2,0,4,5,7,9,0,0,4,0,2,54,200,49,151
0,2,0,0,1,6,0,7,0,0,0,1,0,5,0,6,4,0,8,0,40,146,46,100
1,1,2,1,0,0,1,3,0,0,1,0,1,0,0,1,0,0,1,0,13,110,56,54
4,0,1,1,0,1,0,0,0,0,0,0,5,2,0,0,0,4,0,0,18,106,54,52
0,4,2,1,0,0,0,1,0,0,2,0,0,4,0,0,1,1,0,0,16,102,57,45
0,0,0,0,1,2,1,0,0,0,1,0,0,2,0,0,0,0,0,1,8,97,62,35
0,1,1,0,1,1,0,1,0,0,0,0,4,0,2,0,1,0,0,0,12,102,62,40
0,0,0,0,0,0,2,0,1,1,1,2,0,0,2,0,0,0,0,4,13,102,66,36
0,1,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,2,9,100,73,27
0,0,0,1,4,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,9,111,73,38
0,0,0,4,0,0,0,3,0,0,0,0,0,0,0,0,2,2,1,0,12,114,75,39
0,1,0,1,0,0,2,1,0,0,0,0,2,0,0,0,0,1,3,1,12,112,78,34
0,0,0,2,3,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,8,113,81,32
0,0,0,1,0,0,0,1,0,0,0,0,1,0,2,1,0,0,3,0,9,117,81,36
0,0,0,1,0,0,3,0,0,0,0,0,7,0,1,0,0,0,0,0,12,119,82,37
0,2,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,7,119,78,41
0,0,0,0,3,0,0,0,0,0,0,0,1,0,2,0,0,0,3,0,9,119,77,42
0,0,0,0,3,1,1,0,0,0,0,0,0,0,4,1,0,3,4,0,17,118,76,42
0,2,0,2,2,1,0,0,0,0,0,0,4,1,3,0,0,0,3,0,18,112,70,42
0,1,0,0,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,0,7,100,78,22
0,0,2,0,0,0,0,3,0,0,0,0,0,0,2,2,0,1,0,0,10,107,75,32
0,0,0,0,0,0,0,2,0,0,0,0,2,1,0,1,0,2,0,0,8,107,76,31
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,4,0,0,7,111,80,31
0,2,0,0,3,0,0,1,0,0,0,0,9,4,0,0,0,0,2,0,21,119,74,45
