time,avg_cooperation,fully_noncoop,noncoop,cond_coop,coop,fully_coop
0,0.5,4,4,4,4,4
1,0.5,4,4,4,4,4
2,0.5,4,4,4,4,4
3,0.5,4,4,4,4,4
4,0.475,3,6,4,4,3
5,0.475,3,6,4,4,3
6,0.475,3,6,4,4,3
7,0.475,3,6,4,4,3
8,0.475,3,6,4,4,3
9,0.4,5,5,5,3,2
10,0.4,5,5,5,3,2
11,0.4,5,5,5,3,2
12,0.4,5,5,5,3,2
13,0.4,5,5,5,3,2
14,0.35,7,4,5,2,2
15,0.35,7,4,5,2,2
16,0.35,7,4,5,2,2
17,0.35,7,4,5,2,2
18,0.35,7,4,5,2,2
19,0.3375,7,4,5,3,1
20,0.3375,7,4,5,3,1
21,0.3375,7,4,5,3,1
22,0.3375,7,4,5,3,1
23,0.3375,7,4,5,3,1
24,0.3625,6,4,6,3,1
25,0.3625,6,4,6,3,1
26,0.3625,6,4,6,3,1
27,0.3625,6,4,6,3,1
28,0.3625,6,4,6,3,1
29,0.3375,6,5,6,2,1
30,0.3375,6,5,6,2,1
31,0.3375,6,5,6,2,1
32,0.3375,6,5,6,2,1
33,0.3375,6,5,6,2,1
34,0.325,7,4,6,2,1
35,0.325,7,4,6,2,1
36,0.325,7,4,6,2,1
37,0.325,7,4,6,2,1
38,0.325,7,4,6,2,1
39,0.3125,6,5,7,2,0
40,0.3125,6,5,7,2,0
41,0.3125,6,5,7,2,0
42,0.3125,6,5,7,2,0
43,0.3125,6,5,7,2,0
44,0.325,5,6,7,2,0
45,0.325,5,6,7,2,0
46,0.325,5,6,7,2,0
47,0.325,5,6,7,2,0
48,0.325,5,6,7,2,0
49,0.3125,6,4,9,1,0
50,0.3125,6,4,9,1,0
51,0.3125,6,4,9,1,0
52,0.3125,6,4,9,1,0
53,0.3125,6,4,9,1,0
54,0.2125,11,2,6,1,0
55,0.2125,11,2,6,1,0
56,0.2125,11,2,6,1,0
57,0.2125,11,2,6,1,0
58,0.2125,11,2,6,1,0
59,0.2,11,3,5,1,0
60,0.2,11,3,5,1,0
61,0.2,11,3,5,1,0
62,0.2,11,3,5,1,0
63,0.2,11,3,5,1,0
64,0.1875,11,3,6,0,0
65,0.1875,11,3,6,0,0
66,0.1875,11,3,6,0,0
67,0.1875,11,3,6,0,0
68,0.1875,11,3,6,0,0
69,0.1625,12,3,5,0,0
70,0.1625,12,3,5,0,0
71,0.1625,12,3,5,0,0
72,0.1625,12,3,5,0,0
73,0.1625,12,3,5,0,0
74,0.175,11,4,5,0,0
75,0.175,11,4,5,0,0
76,0.175,11,4,5,0,0
77,0.175,11,4,5,0,0
78,0.175,11,4,5,0,0
79,0.1625,11,5,4,0,0
80,0.1625,11,5,4,0,0
81,0.1625,11,5,4,0,0
82,0.1625,11,5,4,0,0
83,0.1625,11,5,4,0,0
84,0.1375,12,5,3,0,0
85,0.1375,12,5,3,0,0
86,0.1375,12,5,3,0,0
87,0.1375,12,5,3,0,0
88,0.1375,12,5,3,0,0
89,0.1375,12,5,3,0,0
90,0.1375,12,5,3,0,0
91,0.1375,12,5,3,0,0
92,0.1375,12,5,3,0,0
93,0.1375,12,5,3,0,0
94,0.15,12,4,4,0,0
95,0.15,12,4,4,0,0
96,0.15,12,4,4,0,0
97,0.15,12,4,4,0,0
98,0.15,12,4,4,0,0
99,0.125,13,4,3,0,0
100,0.125,13,4,3,0,0
101,0.125,13,4,3,0,0
102,0.125,13,4,3,0,0
103,0.125,13,4,3,0,0
104,0.1,15,2,3,0,0
105,0.1,15,2,3,0,0
106,0.1,15,2,3,0,0
107,0.1,15,2,3,0,0
108,0.1,15,2,3,0,0
109,0.1125,15,1,4,0,0
110,0.1125,15,1,4,0,0
111,0.1125,15,1,4,0,0
112,0.1125,15,1,4,0,0
113,0.1125,15,1,4,0,0
114,0.1375,14,1,5,0,0
115,0.1375,14,1,5,0,0
116,0.1375,14,1,5,0,0
117,0.1375,14,1,5,0,0
118,0.1375,14,1,5,0,0
119,0.1375,14,1,5,0,0
120,0.1375,14,1,5,0,0
121,0.1375,14,1,5,0,0
122,0.1375,14,1,5,0,0
123,0.1375,14,1,5,0,0
124,0.1625,13,1,6,0,0
125,0.1625,13,1,6,0,0
126,0.1625,13,1,6,0,0
127,0.1625,13,1,6,0,0
128,0.1625,13,1,6,0,0
129,0.1375,14,1,5,0,0
130,0.1375,14,1,5,0,0
131,0.1375,14,1,5,0,0
132,0.1375,14,1,5,0,0
133,0.1375,14,1,5,0,0
134,0.175,12,2,6,0,0
135,0.175,12,2,6,0,0
136,0.175,12,2,6,0,0
137,0.175,12,2,6,0,0
138,0.175,12,2,6,0,0
139,0.15,13,2,5,0,0
140,0.15,13,2,5,0,0
141,0.15,13,2,5,0,0
142,0.15,13,2,5,0,0
143,0.15,13,2,5,0,0
144,0.1375,14,1,5,0,0
145,0.1375,14,1,5,0,0
146,0.1375,14,1,5,0,0
147,0.1375,14,1,5,0,0
148,0.1375,14,1,5,0,0
