time_step,total_fish_mean,total_fish_ci,mpa_fish_mean,mpa_fish_ci,outside_fish_mean,outside_fish_ci,cooperation_mean,cooperation_ci,trust_mean,trust_ci,fully_noncoop_mean,fully_noncoop_ci,noncoop_mean,noncoop_ci,cond_coop_mean,cond_coop_ci,coop_mean,coop_ci,fully_coop_mean,fully_coop_ci
0,300.0,0.0,0.0,0.0,300.0,0.0,0.5,0.0,0.9000000000000008,1.5232259897857146e-16,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,20.0,0.0
1,219.41,1.716784351746019,64.14,2.006492503449739,155.27,1.9819961537803241,0.6810810810810812,2.176037128265307e-17,0.9230900900900899,0.0004279317334428547,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,20.0,0.0
2,175.23,1.9018777967051406,54.59,1.8758940776067288,120.64,1.7573495970921662,0.6810810810810812,2.176037128265307e-17,0.9388175675675678,0.0005519651109689528,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,20.0,0.0
3,147.71,2.1157643948228264,48.08,1.862037136471773,99.63,1.7952262613943692,0.6810810810810812,2.176037128265307e-17,0.9485334084084082,0.0005463027391783206,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,20.0,0.0
4,127.87,2.2336528399910316,41.01,1.573013260719693,86.86,1.7084680407897594,0.6810810810810812,2.176037128265307e-17,0.9557890390390391,0.0005057995419938454,1.0,0.0,1.0,0.0,5.0,0.0,10.0,0.0,20.0,0.0
5,112.0,2.365680215075571,35.35,1.4819401742310652,76.65,1.7848649360665927,0.6345945945945946,0.006199422296891343,0.9615093843843847,0.000478484982011864,2.0,0.2799439943988797,1.68,0.2461809935799269,5.83,0.4007756699202186,11.72,0.5013004145220707,15.77,0.4265916473631428
6,96.75,2.4970392307691123,31.82,1.5416568105775035,64.93,1.9009484163437989,0.6435135135135135,0.006183786335285811,0.9649842342342339,0.000536087753908539,2.0,0.2799439943988797,1.68,0.2461809935799269,5.83,0.4007756699202186,11.72,0.5013004145220707,15.77,0.4265916473631428
7,85.19,2.482430337874559,28.03,1.4497257622047002,57.16,1.9119234896825765,0.6435135135135134,0.006196479407610489,0.967813063063063,0.0006440671308603157,2.0,0.2799439943988797,1.68,0.2461809935799269,5.83,0.4007756699202186,11.72,0.5013004145220707,15.77,0.4265916473631428
8,75.52,2.314706062030339,25.09,1.3016215234852262,50.43,1.7572916666279395,0.6438378378378377,0.006155623573194857,0.9697143393393394,0.0008195275088812061,2.0,0.2799439943988797,1.68,0.2461809935799269,5.83,0.4007756699202186,11.72,0.5013004145220707,15.77,0.4265916473631428
9,68.02,2.383633997408159,22.08,1.2539956848410605,45.94,1.8270774757519177,0.6445405405405404,0.005853204296589918,0.9710300300300301,0.0009693619839632949,2.0,0.2799439943988797,1.68,0.2461809935799269,5.83,0.4007756699202186,11.72,0.5013004145220707,15.77,0.4265916473631428
10,61.46,2.5146761808232876,20.1,1.345565338435856,41.36,1.7719353956620427,0.5906486486486489,0.009261463492446203,0.9718415915915917,0.0010760230189257023,3.53,0.4796637005236062,2.61,0.41103494547300956,6.07,0.49449133622339614,12.31,0.7332050616301008,12.48,0.5137144669950419
11,54.61,2.5328622793985467,18.04,1.2195925772158502,36.57,1.9702153591929996,0.5988108108108109,0.00913052464111783,0.9715319069069068,0.0012752785320808125,3.53,0.4796637005236062,2.61,0.41103494547300956,6.07,0.49449133622339614,12.31,0.7332050616301008,12.48,0.5137144669950419
12,47.74,2.4189322351814653,15.98,1.0485468771590516,31.76,1.9814659720520063,0.6017837837837838,0.008218913386597497,0.9707008258258257,0.001472651653561473,3.53,0.4796637005236062,2.61,0.41103494547300956,6.07,0.49449133622339614,12.31,0.7332050616301008,12.48,0.5137144669950419
13,43.23,2.2506493182190774,14.65,0.8828162889299224,28.58,1.833030730129749,0.6094054054054054,0.007561037874811824,0.9698153153153154,0.001638542876466555,3.53,0.4796637005236062,2.61,0.41103494547300956,6.07,0.49449133622339614,12.31,0.7332050616301008,12.48,0.5137144669950419
14,39.24,2.069841665055567,13.02,0.9180586438784836,26.22,1.6331822756814378,0.6152432432432433,0.0070378417436780805,0.9690979729729731,0.001712451708341204,3.53,0.4796637005236062,2.61,0.41103494547300956,6.07,0.49449133622339614,12.31,0.7332050616301008,12.48,0.5137144669950419
15,35.38,2.0488854164154717,11.41,0.8530369455070511,23.97,1.5301701296261148,0.5690810810810809,0.009700946774184404,0.9682368618618624,0.0018213253840425423,5.19,0.7237125827288068,3.53,0.5284408629165613,6.07,0.5855481548088082,12.88,0.8508657764888659,9.33,0.4546650828906921
16,31.38,1.8762391131196465,10.45,0.8459279165508138,20.93,1.385168206969825,0.5909189189189192,0.00875562321925934,0.9667346096096092,0.001856882346649702,5.19,0.7237125827288068,3.53,0.5284408629165613,6.07,0.5855481548088082,12.88,0.8508657764888659,9.33,0.4546650828906921
17,28.09,1.8184945065630527,9.5,0.8285492864036514,18.59,1.3756617136491078,0.6085405405405405,0.009403775530726282,0.9654568318318312,0.001867632915402662,5.19,0.7237125827288068,3.53,0.5284408629165613,6.07,0.5855481548088082,12.88,0.8508657764888659,9.33,0.4546650828906921
18,26.08,1.788156027196732,8.92,0.7604597935459835,17.16,1.3861288505763092,0.6237297297297297,0.008808046733405338,0.9645000000000001,0.0019083864841254274,5.19,0.7237125827288068,3.53,0.5284408629165613,6.07,0.5855481548088082,12.88,0.8508657764888659,9.33,0.4546650828906921
19,24.92,1.7658892993616557,8.66,0.8044218236721328,16.26,1.3097200458113176,0.6373513513513513,0.008403984776792554,0.9639320570570575,0.001961177369005025,5.19,0.7237125827288068,3.53,0.5284408629165613,6.07,0.5855481548088082,12.88,0.8508657764888659,9.33,0.4546650828906921
20,23.03,1.706315933700439,8.15,0.7465387598778779,14.88,1.2924948006084973,0.5984864864864865,0.010671739028681067,0.9635544294294295,0.0019723976229595506,7.05,0.841374375649746,4.29,0.6881219182673954,6.01,0.7058694485526341,12.89,0.9885455813466567,6.76,0.47212815887214343
21,21.05,1.5636759127133728,7.36,0.6860111999085731,13.69,1.1521382826727007,0.6294054054054053,0.011616739870228824,0.9624151651651648,0.0019702971738330454,7.05,0.841374375649746,4.29,0.6881219182673954,6.01,0.7058694485526341,12.89,0.9885455813466567,6.76,0.47212815887214343
22,19.64,1.4879279036297421,7.27,0.7206059350296805,12.37,1.0484277989446862,0.6523243243243243,0.00970534259291618,0.9619354354354357,0.0020273344503747757,7.05,0.841374375649746,4.29,0.6881219182673954,6.01,0.7058694485526341,12.89,0.9885455813466567,6.76,0.47212815887214343
23,18.98,1.4604249222743357,7.06,0.6680236690417487,11.92,1.0080880405996295,0.6698918918918918,0.008624357918065805,0.9620724474474477,0.0019633203972710287,7.05,0.841374375649746,4.29,0.6881219182673954,6.01,0.7058694485526341,12.89,0.9885455813466567,6.76,0.47212815887214343
24,18.33,1.5273053976202662,6.73,0.6289462565275353,11.6,1.0976000000000001,0.6803243243243241,0.0073919907032281,0.9626265015015016,0.0019104734277194464,7.05,0.841374375649746,4.29,0.6881219182673954,6.01,0.7058694485526341,12.89,0.9885455813466567,6.76,0.47212815887214343
25,17.71,1.5225794213767636,6.23,0.5786848136939484,11.48,1.1914091797531192,0.641783783783784,0.009636836487672643,0.9629328078078074,0.001871765923718421,8.72,0.9928826847115424,4.95,0.7851628875590086,5.7,0.7568239953912665,12.62,1.089090009870626,5.01,0.4298570906708414
26,16.68,1.4864710295192438,5.99,0.5650071843791016,10.69,1.2020713715915545,0.673081081081081,0.008091496340871179,0.9623937687687687,0.001832298130487037,8.72,0.9928826847115424,4.95,0.7851628875590086,5.7,0.7568239953912665,12.62,1.089090009870626,5.01,0.4298570906708414
27,16.61,1.3722505771177511,5.84,0.6325184506399794,10.77,1.0455658533062375,0.6900540540540538,0.00765340490146896,0.9627642642642636,0.0017265107555131027,8.72,0.9928826847115424,4.95,0.7851628875590086,5.7,0.7568239953912665,12.62,1.089090009870626,5.01,0.4298570906708414
28,16.44,1.309045248415806,5.96,0.5976682477763061,10.48,1.0208872188444715,0.6971891891891889,0.0070579086778102835,0.9630818318318319,0.0016846621369193387,8.72,0.9928826847115424,4.95,0.7851628875590086,5.7,0.7568239953912665,12.62,1.089090009870626,5.01,0.4298570906708414
29,16.23,1.2482153474461044,5.95,0.5921503525288152,10.28,0.9780694584741922,0.7021621621621621,0.006419135381840904,0.9634253003003004,0.0016197146192118803,8.72,0.9928826847115424,4.95,0.7851628875590086,5.7,0.7568239953912665,12.62,1.089090009870626,5.01,0.4298570906708414
30,15.9,1.2178841324198295,6.0,0.6247451960599617,9.9,0.9332152591980053,0.6644864864864866,0.008432199167944797,0.9636073573573571,0.0015515026960324545,10.16,1.15181314040082,5.5,0.9236987387671372,5.66,0.8209663028407439,11.93,1.1362101573212589,3.75,0.3510260958960174
31,15.48,1.244092148355579,5.58,0.5802262124378731,9.9,0.9274342240827647,0.6921621621621621,0.0071123984174880795,0.9628547297297301,0.0015243703630749964,10.16,1.15181314040082,5.5,0.9236987387671372,5.66,0.8209663028407439,11.93,1.1362101573212589,3.75,0.3510260958960174
32,15.32,1.2277424980833729,5.66,0.6267220679057026,9.66,0.8344261203965271,0.7043783783783784,0.005706730951807564,0.9627027027027028,0.0015378598190939098,10.16,1.15181314040082,5.5,0.9236987387671372,5.66,0.8209663028407439,11.93,1.1362101573212589,3.75,0.3510260958960174
33,15.04,1.232439521599336,5.27,0.542360722766684,9.77,0.8742808436652378,0.7090810810810814,0.005522172642797311,0.9627060810810814,0.00150473858903372,10.16,1.15181314040082,5.5,0.9236987387671372,5.66,0.8209663028407439,11.93,1.1362101573212589,3.75,0.3510260958960174
34,14.93,1.2121154077067082,4.91,0.504367832439778,10.02,0.8977484690045422,0.7141621621621621,0.004478093385376407,0.9626978228228231,0.0014684768694612548,10.16,1.15181314040082,5.5,0.9236987387671372,5.66,0.8209663028407439,11.93,1.1362101573212589,3.75,0.3510260958960174
35,14.97,1.250859346849197,4.93,0.5052505928744667,10.04,0.9395414915798025,0.6683243243243245,0.00832807919245444,0.9627961711711717,0.0014499392971291957,11.41,1.2553474859177434,6.02,0.9978613899735775,5.3,0.8418878785206496,11.37,1.2339145714351538,2.9,0.3262090127510275
36,14.44,1.259083008542328,4.59,0.4959187336651036,9.85,0.9949292839192143,0.6948108108108108,0.007596287383528107,0.961545045045045,0.0015115154215403323,11.41,1.2553474859177434,6.02,0.9978613899735775,5.3,0.8418878785206496,11.37,1.2339145714351538,2.9,0.3262090127510275
37,14.26,1.1988472623316113,4.48,0.4002241292076228,9.78,0.9814023566305513,0.7091891891891894,0.0057679759727740035,0.9611201201201202,0.0015579301473897837,11.41,1.2553474859177434,6.02,0.9978613899735775,5.3,0.8418878785206496,11.37,1.2339145714351538,2.9,0.3262090127510275
38,14.18,1.1767772098405034,4.38,0.49021947084953715,9.8,0.9375276422591494,0.7122162162162162,0.0055399093599608155,0.960911036036036,0.0014972835220349963,11.41,1.2553474859177434,6.02,0.9978613899735775,5.3,0.8418878785206496,11.37,1.2339145714351538,2.9,0.3262090127510275
39,14.17,1.1661769409484992,4.55,0.5312829378024483,9.62,0.8738083597677463,0.7159459459459458,0.004949785070335154,0.9606959459459454,0.0014692485399932448,11.41,1.2553474859177434,6.02,0.9978613899735775,5.3,0.8418878785206496,11.37,1.2339145714351538,2.9,0.3262090127510275
40,14.23,1.1591722363824972,4.58,0.507469701164513,9.65,0.8372550149148104,0.6747567567567567,0.0076984949296050155,0.960356981981982,0.0014250139890421491,12.18,1.3034751557279483,6.52,1.1033529234111814,5.29,0.9198624758082046,10.86,1.2324706919030572,2.15,0.31036771739341706
41,13.6,1.1482321716447421,4.4,0.5080900707551762,9.2,0.8672861580816335,0.7022702702702702,0.006342048569772914,0.9590953453453456,0.0014639819345166408,12.18,1.3034751557279483,6.52,1.1033529234111814,5.29,0.9198624758082046,10.86,1.2324706919030572,2.15,0.31036771739341706
42,13.57,1.1728123130322259,4.37,0.49324676339536166,9.2,0.9126110233829087,0.7128108108108107,0.005510523539031002,0.958802552552553,0.0014482918246487787,12.18,1.3034751557279483,6.52,1.1033529234111814,5.29,0.9198624758082046,10.86,1.2324706919030572,2.15,0.31036771739341706
43,13.69,1.2071738492860091,4.31,0.48304755707901037,9.38,0.977165661287788,0.7179459459459457,0.004947528211240706,0.9585165165165168,0.0014161903027058158,12.18,1.3034751557279483,6.52,1.1033529234111814,5.29,0.9198624758082046,10.86,1.2324706919030572,2.15,0.31036771739341706
44,13.82,1.2763739113598334,4.25,0.4523950043932846,9.57,1.0453453790972629,0.7224324324324323,0.0040851058728869445,0.9582428678678683,0.00140843039132255,12.18,1.3034751557279483,6.52,1.1033529234111814,5.29,0.9198624758082046,10.86,1.2324706919030572,2.15,0.31036771739341706
45,14.0,1.276259534734217,4.57,0.5052505928744668,9.43,1.013627032788688,0.6785945945945946,0.007955715219728153,0.9581009759759758,0.0014038307092889726,13.06,1.3249426034360883,7.01,1.2020074535542615,4.95,0.9567430376020514,10.36,1.2758139701382796,1.62,0.25066553333077124
46,13.72,1.26266601506495,4.57,0.5187561292168027,9.15,0.9679205545911296,0.707135135135135,0.006593175482221887,0.9566280030030029,0.001512552164307139,13.06,1.3249426034360883,7.01,1.2020074535542615,4.95,0.9567430376020514,10.36,1.2758139701382796,1.62,0.25066553333077124
47,13.64,1.3038110930652491,4.66,0.5620930086738313,8.98,0.978030180311426,0.7176756756756757,0.005269370494501905,0.956384009009009,0.0014737145853040694,13.06,1.3249426034360883,7.01,1.2020074535542615,4.95,0.9567430376020514,10.36,1.2758139701382796,1.62,0.25066553333077124
48,13.61,1.2358557708729605,4.68,0.5452042200863818,8.93,0.9318784907915839,0.7221621621621621,0.004742782421597277,0.9561084834834837,0.001488888779691599,13.06,1.3249426034360883,7.01,1.2020074535542615,4.95,0.9567430376020514,10.36,1.2758139701382796,1.62,0.25066553333077124
49,13.67,1.19417091641021,4.59,0.5389786177576992,9.08,0.9149988730047705,0.7226486486486488,0.004734954156729061,0.9558134384384386,0.0014920305884072768,13.06,1.3249426034360883,7.01,1.2020074535542615,4.95,0.9567430376020514,10.36,1.2758139701382796,1.62,0.25066553333077124
50,13.72,1.2337355411918716,4.3,0.4796997394204004,9.42,0.9469782138993482,0.6836216216216218,0.007701993377676554,0.9553903903903906,0.0014820563214801058,14.02,1.4397610890699886,7.4,1.321220284434054,4.56,0.9306677723011576,9.86,1.263256112749905,1.16,0.21420567312748742
51,13.76,1.2762956547759614,4.56,0.5297949248530037,9.2,0.9489315254537601,0.7032972972972976,0.007497343296493664,0.9539816066066067,0.0015288224805780494,14.02,1.4397610890699886,7.4,1.321220284434054,4.56,0.9306677723011576,9.86,1.263256112749905,1.16,0.21420567312748742
52,13.97,1.3236763900591413,4.53,0.541368179338239,9.44,1.0339143980040129,0.7155675675675676,0.00602641550551756,0.9533746246246246,0.0015183509057630907,14.02,1.4397610890699886,7.4,1.321220284434054,4.56,0.9306677723011576,9.86,1.263256112749905,1.16,0.21420567312748742
53,13.96,1.2834393691951327,4.52,0.5547042397530415,9.44,1.0006831778340237,0.7192972972972974,0.005662421800407211,0.9531753003003005,0.0015031450546965231,14.02,1.4397610890699886,7.4,1.321220284434054,4.56,0.9306677723011576,9.86,1.263256112749905,1.16,0.21420567312748742
54,14.07,1.3282539823392212,4.66,0.5848687292033999,9.41,0.9952072499735921,0.7203243243243242,0.0053951770210425645,0.9528577327327322,0.0014983621443218288,14.02,1.4397610890699886,7.4,1.321220284434054,4.56,0.9306677723011576,9.86,1.263256112749905,1.16,0.21420567312748742
55,13.94,1.3558950779466679,4.43,0.5454683873516413,9.51,0.9782324459963488,0.6796756756756757,0.00807641727192997,0.9525720720720721,0.0014836984390775604,14.66,1.5761178859463532,7.76,1.390390347492387,4.21,0.9742185865605313,9.53,1.3005467717848522,0.84,0.20316040559124704
56,13.73,1.3527848437944594,4.44,0.5355643961280474,9.29,0.9742185865605316,0.7052972972972974,0.007797621621621624,0.9513201951951956,0.0015269815642295949,14.66,1.5761178859463532,7.76,1.390390347492387,4.21,0.9742185865605313,9.53,1.3005467717848522,0.84,0.20316040559124704
57,13.53,1.3874405160582566,4.24,0.5149394123583859,9.29,1.0424160083191354,0.7145405405405407,0.006703448743136826,0.9508840090090089,0.001565729096529343,14.66,1.5761178859463532,7.76,1.390390347492387,4.21,0.9742185865605313,9.53,1.3005467717848522,0.84,0.20316040559124704
58,13.4,1.3310694647538122,4.33,0.5360913519168164,9.07,1.0075448583561923,0.7199459459459463,0.0057145931179759,0.9506584084084081,0.0015633733184106432,14.66,1.5761178859463532,7.76,1.390390347492387,4.21,0.9742185865605313,9.53,1.3005467717848522,0.84,0.20316040559124704
59,13.58,1.2581245954197064,4.57,0.5454683873516413,9.01,0.9224481331760611,0.7224864864864867,0.004792739792973913,0.950602102102102,0.001496484648954612,14.66,1.5761178859463532,7.76,1.390390347492387,4.21,0.9742185865605313,9.53,1.3005467717848522,0.84,0.20316040559124704
60,14.1,1.276410028164931,4.39,0.5529111017152759,9.71,0.9579147845189573,0.6745405405405404,0.008702148739125703,0.9504279279279281,0.001492836272423198,15.58,1.6193870623170974,8.06,1.4998342116380732,3.77,0.9512988771148635,8.98,1.2944846671938608,0.61,0.18364478320932517
61,14.16,1.2674154766295067,4.44,0.5398510372315679,9.72,0.9606319719851093,0.7052972972972974,0.00789774265462698,0.9489966216216217,0.0015406808225200677,15.58,1.6193870623170974,8.06,1.4998342116380732,3.77,0.9512988771148635,8.98,1.2944846671938608,0.61,0.18364478320932517
