parameter,value,stability_probability,mean_fish_population,mean_cv,mean_persistence,crash_probability,n_reps
scale,0.5,0.0,14.28375,0.37677480522466794,0.5745833333333333,0.0,3
scale,0.75,0.0,14.695,0.3547100770429417,0.6308333333333332,0.3333333333333333,3
scale,1.0,0.0,14.148333333333333,0.34306858326616624,0.6054166666666667,0.0,3
scale,1.25,0.0,14.066249999999998,0.36765845809642445,0.5933333333333334,0.0,3
scale,1.5,0.0,14.106250000000001,0.3546688704799606,0.5829166666666666,0.0,3
scale,1.75,0.0,14.679166666666667,0.3436299891325525,0.6329166666666666,0.3333333333333333,3
scale,2.0,0.0,13.730416666666665,0.3765161465437204,0.5441666666666668,0.6666666666666666,3
scale,2.25,0.0,14.534583333333332,0.36954537631874035,0.62125,0.3333333333333333,3
scale,2.5,0.0,14.86875,0.3471204527320267,0.66,0.0,3
scale,2.75,0.0,14.222916666666668,0.342871043098208,0.6033333333333334,0.0,3
scale,3.0,0.0,14.132916666666667,0.4015088735828202,0.5670833333333333,0.0,3
scale,3.25,0.0,14.08625,0.39256735819391714,0.5720833333333334,0.3333333333333333,3
scale,3.5,0.0,14.83,0.3590748328431825,0.64125,0.0,3
scale,3.75,0.0,14.566250000000002,0.3774144526121677,0.6016666666666667,0.0,3
scale,4.0,0.0,14.030833333333334,0.3599065349608583,0.5741666666666667,0.0,3
imitation_period,1.0,0.0,14.765,0.3517359364137542,0.6204166666666667,0.0,3
imitation_period,2.0,0.0,14.211666666666666,0.33616098314547166,0.6083333333333334,0.0,3
imitation_period,3.0,0.0,14.706666666666665,0.37209162274304514,0.6304166666666666,0.3333333333333333,3
imitation_period,4.0,0.0,13.90875,0.34397133971168975,0.5916666666666667,0.0,3
imitation_period,5.0,0.0,13.785833333333334,0.3628962919185999,0.5708333333333334,0.6666666666666666,3
imitation_period,6.0,0.0,14.11875,0.35381358157205717,0.6104166666666667,0.3333333333333333,3
imitation_period,7.0,0.0,14.357083333333334,0.34040076261884455,0.6170833333333333,0.0,3
imitation_period,8.0,0.0,14.646666666666667,0.3231775628839109,0.6583333333333333,0.0,3
imitation_period,9.0,0.3333333333333333,14.824166666666665,0.3572306165898722,0.6495833333333333,0.0,3
imitation_period,10.0,0.0,14.7525,0.33151979352528277,0.65875,0.3333333333333333,3
imitation_period,11.0,0.0,14.85875,0.35728863104245656,0.6308333333333332,0.3333333333333333,3
imitation_period,12.0,0.0,14.502083333333333,0.3381292941456063,0.6245833333333334,0.3333333333333333,3
imitation_period,13.0,0.0,14.08,0.36842309879654006,0.5820833333333334,0.0,3
imitation_period,14.0,0.0,14.529166666666667,0.3763309607102378,0.6175,0.3333333333333333,3
imitation_period,15.0,0.0,13.719166666666666,0.32803923695679643,0.5520833333333334,0.0,3
cooperation_increase,0.05,0.0,14.665000000000001,0.33220772449690045,0.65125,0.3333333333333333,3
cooperation_increase,0.08214285714285716,0.0,15.165416666666665,0.3556906325171898,0.66125,0.0,3
cooperation_increase,0.1142857142857143,0.0,14.089999999999998,0.36929640225693355,0.58875,0.3333333333333333,3
cooperation_increase,0.14642857142857146,0.0,14.19625,0.34689719624000537,0.6075,0.0,3
cooperation_increase,0.1785714285714286,0.0,14.52875,0.33401367169570967,0.6275000000000001,0.0,3
cooperation_increase,0.21071428571428574,0.0,14.687083333333334,0.3303275828066326,0.6616666666666666,0.3333333333333333,3
cooperation_increase,0.24285714285714288,0.0,14.661666666666667,0.34349226954128786,0.6262500000000001,0.0,3
cooperation_increase,0.275,0.0,14.637083333333331,0.37825965661446675,0.61125,0.3333333333333333,3
cooperation_increase,0.30714285714285716,0.0,14.595416666666665,0.36888375683670166,0.63625,0.0,3
cooperation_increase,0.3392857142857143,0.0,14.332500000000001,0.3523568857068419,0.5870833333333333,0.0,3
